Site,Order,Lat,Long,20_Sp_1,20_Date,20_NAd,20_eggs_Y or N,20_NEggLai,20_hatch,20_Nyng,20_Comm,20_Sp_2,20_Date,20_NAd,20_eggs_Yor N,20_NEggLai,20_hatch,20_Nyng,20_Comm,20_Sp_3,20_Date,20_NAd,20_eggs_Y or N,20_NEggLai,20_hatch,20_Nyng,20_Comm
73,114,71.3608,-79.6373,not detected,27-Jun-20,NA,NA,NA,NA,NA,NA,not detected,18-Jul-20,NA,NA,NA,NA,NA,NA,not detected,11-Aug-20,NA,NA,NA,NA,NA,NA
74,87,71.3218,-80.1950,not detected,26-Jun-20,NA,NA,NA,NA,NA,NA,not detected,18-Jul-20,NA,NA,NA,NA,NA,NA,not detected,11-Aug-20,NA,NA,NA,NA,NA,NA
75,113,71.3616,-79.6362,not detected,27-Jun-20,NA,NA,NA,NA,NA,NA,RLHA,18-Jul-20,0,y,unk,unk,NA,No parents,RLHA,11-Aug-20,0,n,unk,unk,4,NA
80,66,71.4476,-79.5701,PEFA,27-Jun-20,2,y,4,0,0,"Parents flushed, waypoint taken",PEFA,19-Jul-20,1,y,2,2,unk,Parents flushed,PEFA,14-Aug-20,0,n,4,4,4,NA
81,53,71.3990,-79.5737,PEFA,27-Jun-20,1,unk,unk,unk,unk,Waypoint taken,PEFA,19-Jul-20,2,y,4,0,unk,Parents flushed,PEFA,14-Aug-20,0,n,4,4,4,NA
82,79,71.3327,-79.5619,PEFA,27-Jun-20,2,unk,unk,unk,unk,"Male flushed from scrape, female remained",PEFA,18-Jul-20,1,y,unk,unk,unk,"Female incubating, did not flush",PEFA,11-Aug-20,1,n,unk,unk,4,NA
83,78,71.3286,-79.5424,not detected,26-Jun-20,NA,NA,NA,NA,NA,NA,not detected,18-Jul-20,NA,NA,NA,NA,NA,NA,not detected,11-Aug-20,NA,NA,NA,NA,NA,NA
84,68,71.4457,-79.5258,not detected,27-Jun-20,NA,NA,NA,NA,NA,NA,not detected,19-Jul-20,NA,NA,NA,NA,NA,NA,not detected,14-Aug-20,NA,NA,NA,NA,NA,NA
85,69,71.4441,-79.5157,RLHA,27-Jun-20,1,y,5,0,0,"Parent flushed, waypoint taken",RLHA,19-Jul-20,1,y,4,0,unk,Parent flushed,RLHA,14-Aug-20,1,n,4,unk,3,adult flushed off nest
86,48,71.3444,-79.4464,not detected,27-Jun-20,NA,NA,NA,NA,NA,NA,PEFA,19-Jul-20,1,n,0,0,0,"1 male sighted in area, not territorial",not detected,14-Aug-20,NA,NA,NA,NA,NA,NA
88,46,71.3374,-79.4400,not detected,27-Jun-20,NA,NA,NA,NA,NA,NA,not detected,19-Jul-20,NA,NA,NA,NA,NA,NA,not detected,14-Aug-20,NA,NA,NA,NA,NA,NA
91,45,71.3333,-79.3849,not detected,27-Jun-20,NA,NA,NA,NA,NA,NA,not detected,19-Jul-20,NA,NA,NA,NA,NA,NA,not detected,14-Aug-20,NA,NA,NA,NA,NA,NA
94,73,71.3696,-79.3786,PEFA,27-Jun-20,2,y,3,unk,unk,"Parents flushed, waypoint taken",PEFA,19-Jul-20,1,y,3,0,unk,Male flushed,PEFA,14-Aug-20,0,n,4,4,4,NA
95,27,71.2227,-79.3808,not detected,27-Jun-20,NA,NA,NA,NA,NA,NA,RLHA,18-Jul-20,1,y,3,0,0,Flushed,RLHA,11-Aug-20,1,n,3,3,3,NA
98,29,71.2140,-79.3739,not detected,26-Jun-20,NA,NA,NA,NA,NA,NA,PEFA,18-Jul-20,1,y,2,0,0,"Stood from nest, didn't flush",PEFA,11-Aug-20,0,n,4,4,4,n eggs laid based on assumption of 4 = full clutch
99,28,71.2144,-79.3719,not detected,26-Jun-20,NA,NA,NA,NA,NA,NA,not detected,18-Jul-20,NA,NA,NA,NA,NA,NA,not detected,11-Aug-20,NA,NA,NA,NA,NA,NA
100,44,71.3304,-79.3486,PEFA,27-Jun-20,2,unk,unk,unk,unk,"Male flushed, female incubating, waypoint taken",PEFA,19-Jul-20,2,y,unk,unk,unk,"Female incubating, did not flush",PEFA,14-Aug-20,0,N,unk,unk,3,NA
101,31,71.1373,-79.3612,not detected,27-Jun-20,NA,NA,NA,NA,NA,NA,not detected,18-Jul-20,NA,NA,NA,NA,NA,NA,not detected,11-Aug-20,NA,NA,NA,NA,NA,NA
102,30,71.1300,-79.3554,not detected,26-Jun-20,NA,NA,NA,NA,NA,NA,not detected,18-Jul-20,NA,NA,NA,NA,NA,NA,not detected,11-Aug-20,NA,NA,NA,NA,NA,NA
