SiteID,Lat_DD,Lon_DD,PDA,D2D,D2NN,NN,12Yng,13Yng,14Yng,15Yng,16Yng,17Yng,18Yng,19Yng,y12v1,y12v2,y12v3,y13v1,y13v2,y13v3,y14v1,y14v2,y14v3,y15v1,y15v2,y15v3,y16v1,y16v2,y16v3,y17v1,y17v2,y17v3,y18v1,y18v2,y18v3,y19v1,y19v2,y19v3,RLHA_19,PEFA_19,GYRF_19,NDNO,RLHA,PEFA,GYRF
94,71.3696,-79.3786,1,4.1,2.9,473,0,NA,3,2,3,2,2,2,PEFA,PEFA,NA,0,0,NA,PEFA,PEFA,NA,PEFA,PEFA,NA,PEFA,PEFA,NA,PEFA,PEFA,NA,PEFA,PEFA,PEFA,PEFA,PEFA,PEFA,0,3,0,FALSE,FALSE,TRUE,FALSE
95,71.2227,-79.3808,1,9.5,1,99,NA,NA,NA,NA,NA,0,0,0,RLHA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
98,71.214,-79.3739,2,10.3,0.1,99,NA,3,NA,0,0,2,0,0,PEFA,PEFA,NA,PEFA,PEFA,NA,0,0,NA,0,0,NA,0,0,NA,PEFA,PEFA,NA,0,PEFA,PEFA,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
99,71.2144,-79.3719,2,10.2,0.1,98,NA,NA,3,0,4,0,0,3,0,0,NA,0,0,NA,PEFA,PEFA,NA,PEFA,PEFA,NA,PEFA,PEFA,NA,0,0,NA,GYRF,0,0,PEFA,PEFA,PEFA,0,3,0,FALSE,FALSE,TRUE,FALSE
100,71.3304,-79.3486,1,0,1.1,104,NA,NA,2,2,3,0,2,0,0,0,NA,0,0,NA,PEFA,PEFA,NA,PEFA,PEFA,NA,PEFA,PEFA,NA,PEFA,0,NA,PEFA,PEFA,PEFA,PEFA,PEFA,PEFA,0,3,0,FALSE,FALSE,TRUE,FALSE
101,71.1373,-79.3612,2,18.5,0.8,102,2,NA,3,4,4,3,3,0,PEFA,PEFA,NA,0,0,NA,PEFA,PEFA,NA,PEFA,PEFA,NA,PEFA,PEFA,NA,PEFA,PEFA,NA,PEFA,PEFA,PEFA,PEFA,PEFA,0,0,2,0,FALSE,FALSE,TRUE,FALSE
102,71.13,-79.3554,2,19.3,0.8,101,NA,NA,NA,NA,NA,0,0,0,RLHA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
107,71.3291,-79.2855,1,0,0.6,109,NA,NA,NA,NA,NA,0,0,0,RLHA,0,NA,0,0,NA,0,NA,NA,0,0,NA,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
108,71.3161,-79.2763,1,0,1,109,0,1,NA,NA,NA,0,0,0,0,0,NA,PEFA,PEFA,NA,0,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
109,71.325,-79.2731,1,0,0.6,107,NA,NA,NA,2,NA,0,0,0,0,0,NA,0,0,NA,0,NA,NA,RLHA,RLHA,NA,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
114,71.30969,-79.19534,1,0.3,0.1,115,NA,NA,0,NA,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,PEFA,PEFA,PEFA,0,3,0,FALSE,FALSE,TRUE,FALSE
115,71.3087,-79.1925,1,0.4,0.1,114,2,NA,NA,2,0,0,0,0,RLHA,RLHA,NA,0,0,NA,0,0,NA,RLHA,RLHA,NA,0,0,NA,RLHA,RLHA,NA,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
119,71.2918,-79.19,1,2.2,0.8,122,NA,NA,3,4,NA,0,0,0,RLHA,RLHA,NA,0,0,NA,RLHA,RLHA,NA,RLHA,RLHA,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
122,71.2881,-79.1717,1,2.8,0.7,124,NA,NA,0,1,1,0,2,1,PEFA,PEFA,NA,0,0,NA,0,0,NA,PEFA,PEFA,NA,PEFA,PEFA,NA,PEFA,0,NA,PEFA,0,PEFA,PEFA,PEFA,PEFA,0,3,0,FALSE,FALSE,TRUE,FALSE
124,71.2833,-79.1592,1,3.4,0.7,122,0,NA,2,0,0,0,0,0,0,0,NA,0,0,NA,RLHA,RLHA,NA,0,RLHA,NA,RLHA,RLHA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
127,71.2766,-79.1223,1,4.8,0.6,128,NA,NA,NA,NA,0,0,0,0,RLHA,RLHA,NA,0,NA,NA,0,0,NA,0,0,NA,GYRF,GYRF,NA,GYRF,0,NA,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
128,71.2738,-79.1069,1,5.4,0.3,129,NA,NA,2,0,NA,0,0,2,0,0,NA,0,NA,NA,PEFA,PEFA,NA,PEFA,PEFA,NA,0,0,NA,PEFA,0,NA,PEFA,0,PEFA,PEFA,PEFA,PEFA,0,3,0,FALSE,FALSE,TRUE,FALSE
129,71.2723,-79.0988,1,5.7,0.3,453,NA,NA,3,NA,2,0,0,0,0,0,NA,0,NA,NA,0,RLHA,NA,0,0,NA,RLHA,RLHA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
135,71.2271,-79.0682,2,10.5,1.8,139,NA,NA,1,NA,0,0,0,0,0,NA,NA,0,NA,NA,PEFA,PEFA,NA,0,NA,NA,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
138,71.2597,-79.0468,1,8,1.2,141,NA,0,NA,NA,NA,0,0,2,RLHA,RLHA,NA,PEFA,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,0,NA,0,0,0,0,PEFA,PEFA,0,2,0,FALSE,FALSE,TRUE,FALSE
139,71.2376,-79.0316,2,10.2,1.6,145,NA,NA,3,3,0,0,0,0,0,NA,NA,0,0,NA,RLHA,RLHA,NA,RLHA,RLHA,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
141,71.2547,-79.0186,1,9.1,0.1,143,NA,1,NA,4,4,2,3,3,PEFA,PEFA,NA,PEFA,PEFA,NA,0,0,NA,PEFA,PEFA,NA,PEFA,PEFA,NA,PEFA,PEFA,NA,PEFA,PEFA,PEFA,PEFA,PEFA,PEFA,0,3,0,FALSE,FALSE,TRUE,FALSE
143,71.2552,-79.0151,1,9.1,0.1,141,0,NA,NA,3,NA,0,0,0,RLHA,RLHA,NA,0,0,NA,0,0,NA,RLHA,RLHA,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
145,71.2432,-78.9911,2,10.7,1.6,139,NA,NA,3,NA,0,0,0,0,RLHA,RLHA,NA,0,0,NA,RLHA,RLHA,NA,0,0,NA,RLHA,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
148,71.2451,-78.9201,2,12.5,0.2,150,NA,0,2,NA,NA,0,0,0,RLHA,RLHA,NA,0,0,NA,RLHA,RLHA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,RLHA,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE
150,71.2444,-78.9136,2,12.7,0.2,148,NA,0,NA,NA,NA,0,0,1,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,PEFA,PEFA,0,2,0,FALSE,FALSE,TRUE,FALSE
160,71.2483,-78.8876,2,13.3,1,150,NA,0,NA,NA,NA,0,0,0,PEFA,PEFA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,PEFA,PEFA,NA,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
